id_cliente,churn,genero,idoso,parceiro,dependentes,tempo_contrato,servico_telefonico,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivos,suporte_tecnico,streaming_tv,streaming_filmes,contrato,fatura_online,metodo_pagamento,cobrança_mensal,cobrança_total,contas_diarias
0002-ORFBO,não,feminino,0,sim,sim,9,sim,não,dsl,não,sim,não,sim,sim,não,um ano,sim,cheque postal,65.6,593.3,2.19
0003-MKNFE,não,masculino,0,não,não,9,sim,sim,dsl,não,não,não,não,não,sim,mensal,não,cheque postal,59.9,542.4,2.0
0004-TLHLJ,sim,masculino,0,não,não,4,sim,não,fibra ótica,não,não,sim,não,não,não,mensal,sim,cheque eletrônico,73.9,280.85,2.46
0011-IGKFF,sim,masculino,1,sim,não,13,sim,não,fibra ótica,não,sim,sim,não,sim,sim,mensal,sim,cheque eletrônico,98.0,1237.85,3.27
0013-EXCHZ,sim,feminino,1,sim,não,3,sim,não,fibra ótica,não,não,não,sim,sim,não,mensal,sim,cheque postal,83.9,267.4,2.8
0013-MHZWF,não,feminino,0,não,sim,9,sim,não,dsl,não,não,não,sim,sim,sim,mensal,sim,cartão de crédito (automático),69.4,571.45,2.31
0013-SMEOE,não,feminino,1,sim,não,71,sim,não,fibra ótica,sim,sim,sim,sim,sim,sim,dois anos,sim,transferência bancária (automática),109.7,7904.25,3.66
0014-BMAQU,não,masculino,0,sim,não,63,sim,sim,fibra ótica,sim,não,não,sim,não,não,dois anos,sim,cartão de crédito (automático),84.65,5377.8,2.82
0015-UOCOJ,não,feminino,1,não,não,7,sim,não,dsl,sim,não,não,não,não,não,mensal,sim,cheque eletrônico,48.2,340.35,1.61
0016-QLJIS,não,feminino,0,sim,sim,65,sim,sim,dsl,sim,sim,sim,sim,sim,sim,dois anos,sim,cheque postal,90.45,5957.9,3.02
0017-DINOC,não,masculino,0,não,não,54,não,sem serviço telefônico,dsl,sim,não,não,sim,sim,não,dois anos,não,cartão de crédito (automático),45.2,2460.55,1.51
0017-IUDMW,não,feminino,0,sim,sim,72,sim,sim,fibra ótica,sim,sim,sim,sim,sim,sim,dois anos,sim,cartão de crédito (automático),116.8,8456.75,3.89
0018-NYROU,não,feminino,0,sim,não,5,sim,não,fibra ótica,não,não,não,não,não,não,mensal,sim,cheque eletrônico,68.95,351.5,2.3
0019-EFAEP,não,feminino,0,não,não,72,sim,sim,fibra ótica,sim,sim,sim,não,sim,não,dois anos,sim,transferência bancária (automática),101.3,7261.25,3.38
